"CODIGO";"NOMBRE";"PROGRAMA";"COD_PADRE";"ORDEN"
"2V1000003510";"IMPUESTOS LIQUIDABLES";"IMPLIQUI";"2V10000035";"100"
"2V1000003520";"IMPUESTOS POR PERÍODOS";"IMPUPERI";"2V10000035";"200"
"2V1000003521";"PARÁMETROS RETENCIONES AFIP";"AFIP_PARAM";"2V10000035";"210"
"2V1000003522";"CONDICIONES CALCULO RET.AFIP";"AFIP_COND";"2V10000035";"220"
"2V1000003523";"PARÁMETROS PERECEPCIONES AFIP";"AFIP_IMP_PERCEPCION";"2V10000035";"230"
"2V1000003530";"TIPOS IMPUESTO DE ENTIDAD";"TIPIMENT";"2V10000035";"300"
"2V1000003540";"TIPOS IMPUESTO DE ARTÍCULO";"TIPIMART";"2V10000035";"400"
"2V1000003543";"TIPOS IMPUESTO DE ALMACÉN";"F_TIALM";"2V10000035";"430"
"2V1000003545";"TIPOS IMPUESTO GRUPO BALANCE";"F_TIGB";"2V10000035";"450"
"2V1000003550";"IMPUESTOS DE FACTURACIÓN";"IMPUFACT";"2V10000035";"500"
"2V1000003560";"TABLA IMPUESTOS A DEVENGAR";"IMPPDDEV";"2V10000035";"600"
"2V1000003570";"MARCOS IMPOSITIVOS";"F_MARIMP";"2V10000035";"700"
"2V1000003575";"PUERTOS INTRASTAT";"PUERTOSI";"2V10000035";"750"
"2V1000003580";"PERIODOS IVA CAJA (PORTUGAL)";"HICLIRIC";"2V10000035";"800"
"2V1000003581";"MANT. REFERENCIAS CATASTRALES";"REFCATAS";"2V10000035";"810"
"2V1000003590";"IMPUESTOS ESTÁNDAR";"IMPUESTOS_STD";"2V10000035";"850"
"2V1000003591";"DEDUCCIONES FISCALES";"DEDUCFIS";"2V10000035";"900"
"2V1000003595";"TIPOS RETENCIÓN POR PROVINCIA";"AFIP_PARAM_PROVINCIA";"2V10000035";"855"
"2V1000003596";"PROVINCIAS AGENTE RETENCIÓN";"AFIP_AGENTES_GB";"2V10000035";"860"
"2V1000003597";"COEFICIENTES CONVENIO MULTILAT";"AFIP_COEFICIENTES_CM";"2V10000035";"865"
"2V1000003598";"Nº INGRESOS BRUTOS DE PROVEDOR";"AFIP_NUM_INSCRIPCION_IB";"2V10000035";"870"
"2V1000004010";"PARÁMETROS SEGUNDA DIVISA";"PARAM_SEGDIV";"2V10000030";"1100"
"2V10000045";"CONCEPTOS";"";"2V10000";"700"
"2V1000004510";"CONCEPTOS CSB";"CONCSB";"2V10000045";"100"
"2V1000004515";"GRUPOS CONCEPTOS CONTABILIDAD";"GRUPCONC";"2V10000045";"150"
"2V1000004520";"CONCEPTOS DE CONTABILIDAD";"CONCEPTO";"2V10000045";"200"
"2V1000004525";"CONCEPTOS DE TESORERÍA";"CONCEPTES";"2V10000045";"250"
"2V1000004530";"SUFIJO POR IMPUESTO Y F.PAGO";"SUFPAGIMP";"2V10000045";"300"
"2V1000004540";"CONCEPTOS CLAVES";"CONCEPTOS_CLAVES";"2V10000045";"400"
"2V10000050";"DIARIOS";"DIARIOS";"2V10000";"800"
"2V10000055";"PERIODOS";"";"2V10000";"900"
"2V1000005510";"TIPOS DE PERÍODO";"TIPOPERI";"2V10000055";"100"
"2V1000005520";"PERÍODOS";"PERIODOS";"2V10000055";"200"
"2V1000005530";"FESTIVOS GENERALES";"FEST_GEN";"2V10000055";"300"
"2V10000060";"MARCAS DE PUNTEO";"MARCASPU";"2V10000";"1000"
"2V10000065";"FORMAS DE COBRO Y PAGO";"";"2V10000";"1100"
"2V1000006505";"GRUPOS TIPOS DE TRANSACCIÓN";"C_GRUPTT";"2V10000065";"100"
"2V1000006510";"TIPOS DE TRANSACCIONES";"TIPTRANS";"2V10000065";"200"
"2V1000006520";"FORMAS DE COBRO PAGO";"FORMASCP";"2V10000065";"300"
"2V1000006530";"FORMA DE ENVÍO PAGOS";"FORMAPA";"2V10000065";"400"
"2V10000070";"BANCOS AEB";"";"2V10000";"1200"
"2V1000007010";"BANCOS Y SUCURSALES";"BANCOSUC";"2V10000070";"100"
"2V1000007020";"CONCEPTOS BANCOS";"CONBACSB";"2V10000070";"200"
"2V1000007030";"CONC.BANCO / CONCEPTOS PROPIOS";"CONBAPR";"2V10000070";"300"
"2V10000080";"INMOVILIZADO";"";"2V10000";"1300"
"2V1000008010";"CARACTERÍSTICAS";"CARACTER";"2V10000080";"100"
"2V1000008015";"RAMAS Y SECCIONES";"RAMASECC";"2V10000080";"200"
"2V1000008020";"TIPOS DE BIENES";"TIPOBIEN";"2V10000080";"300"
"2V1000008022";"TIPOS DE BIENES POR LIBRO";"TIPOBIENL";"2V10000080";"350"
"2V1000008025";"CARACTERÍSTICAS POR TIPO BIEN";"CARTBIEN";"2V10000080";"400"
"2V1000008030";"UBICACIONES DE INMOVILIZADO";"UBICA";"2V10000080";"500"
"2V1000008035";"SISTEMAS DE AMORTIZACIÓN";"LIBROS";"2V10000080";"600"
"2V1000008045";"METODOS AMORTIZACION";"MET_AMORTIZ";"2V10000080";"700"
"2V10000090";"CUADRO DE MANDO FINANCIERO CMF";"";"2V10000";"1400"
"2V1000009010";"CARGA INICIAL PLANTILLA C.M.F.";"CMF_PLAN_STD";"2V10000090";"100"
"2V1000009020";"TIPOS DE EPÍGRAFES DE BALANCE";"EPI_BALS";"2V10000090";"200"
"2V1000009030";"TIPOS DE EPÍGRAFES DE PYG";"GPF_EPIGRAFES";"2V10000090";"300"
"2V1000009050";"MAGNITUDES";"GPF_UNIDADES";"2V10000090";"400"
"2V10000095";"ZONAS";"";"2V10000";"1450"
"2V1000009510";"ZONAS";"ZONAS";"2V10000095";"100"
"2V10000900";"TIPOS DE ...";"";"2V10000";"1500"
"2V1000090010";"TIPOS DE CLIENTE";"TIPOSCLI";"2V10000900";"100"
"2V1000090015";"TIPOS DE PROVEEDOR";"TIPOSPRO";"2V10000900";"200"
"2V1000090020";"TIPOS DE CLAVES ESTADÍSTICAS";"CLAV_EST";"2V10000900";"300"
"2V1000090025";"TIPOS DE ACTIVIDADES";"MA_ACTIV";"2V10000900";"400"
"2V1000090030";"TIPOS DE JERARQUÍA CLIENTES";"JERARCLI";"2V10000900";"500"
"2V1000090035";"TIPOS DE JERARQUÍA PROVEEDORES";"JERARPRO";"2V10000900";"600"
"2V1000090040";"TIPOS DE REMESA";"TIPOS_RE";"2V10000900";"700"
"2V1000090043";"TIPOS DE REMESA FINANCIACIÓN";"TIPOS_RE_FIN";"2V10000900";"750"
"2V1000090045";"TIPOS DE ENVÍO DE IMPAGADOS";"MANENVFG";"2V10000900";"800"
"2V1000090050";"TIPOS DE PRODUCTOS BANCARIOS";"PRODBANC";"2V10000900";"900"
"2V1000090060";"TIPOS DE FORMAS DE COBRO PAGO";"CLASFORPA";"2V10000900";"950"
"2V100010";"LISA";"";"2V95100";"100"
"2V100010010010";"PARAMETRIZACIÓN DE MAPEOS";"LI_FUNCTMAP";"2V10001010";"100"
"2V100010010020";"PARAMETRIZACIÓN DE USUARIOS";"LI_USERS";"2V10001010";"200"
"2V100010010030";"PARAMETRIZACIÓN DE SEGURIDAD";"LI_SECURITY";"2V10001010";"300"
"2V100010010040";"CONSULTA DE LOG";"LI_CONSULTAS";"2V10001010";"400"
"2V10001010";"MANTENIMIENTO MAESTROS";"";"2V100010";"100"
"2V10001020";"CONSULTA DE TRANSACCIONES";"LISA_TRANSACTIONS";"2V100010";"200"
"2V100020";"SARA";"";"2V95100";"200"
"2V10002010";"GESTIÓN SARA";"U_PRGSARA";"2V100020";"100"
"2V10002020";"SARA TRADUCCIONES";"SARATRAD";"2V100020";"200"
"2V10002030";"PANEL STATUS SARA";"PESSTAT_SARA";"2V100020";"300"
"2V10002040";"PANEL CONTROL INTEGRACIONES";"PESITFIC_SARA";"2V100020";"400"
"2V10002050";"PARÁMETROS INTEGRACIONES";"PESIFPAR_SARA";"2V100020";"500"
"2V10010";"MAESTROS ENTIDADES";"";"2V10";"200"
"2V10010010";"GRUPO EMPRESARIAL";"";"2V10010";"100"
"2V1001001010";"GRUPO EMPRESARIAL";"EMPRESAS";"2V10010010";"100"
"2V1001001020";"BLOQUEO CONTABILIDAD";"BLOQCONT";"2V10010010";"200"
"2V1001001030";"REDONDEO DIVISAS";"M_DVD_EM";"2V10010010";"300"
"2V10010015";"CENTROS CONTABLES";"";"2V10010";"200"
"2V1001001510";"CENTROS CONTABLES";"CARASIEN";"2V10010015";"100"
"2V1001001515";"TIPOS DE GRUPOS DE BALANCE";"TIPOS_GB";"2V10010015";"200"
"2V1001001520";"GRUPOS DE BALANCE";"MGRUPCEN";"2V10010015";"300"
"2V1001001525";"LOGOS DE CENTROS CONTABLES";"EX_CCLOG";"2V10010015";"400"
"2V1001001530";"PARÁM. SAFT X GRUPO DE BALANCE";"SAFT_PT_PARAM";"2V10010015";"500"
"2V1001001535";"VARIABLES POR GRUPO DE BALANCE";"VAR_GB_FISCAL";"2V10010015";"600"
"2V1001001540";"PARAM. COMI/DTO. EN COBROS";"PARAM_COMIDTO_C";"2V10010015";"600"
"2V10010020";"CUENTAS";"";"2V10010";"300"
"2V1001002010";"CUENTAS";"CUENTAS";"2V10010020";"100"
"2V1001002020";"RELACIÓN CUENTAS COBRO/PAGO";"RE_CU_CP";"2V10010020";"200"
"2V1001002030";"EQUIVALENCIAS  CUENTAS";"CUENEQUI";"2V10010020";"300"
"2V1001002040";"BLOQUEO CUENTAS POR PERFIL";"CUENNOPE";"2V10010020";"400"
"2V1001002050";"BLOQUEO CUENTAS POR USUARIO";"CO_USRGR";"2V10010020";"500"
"2V1001002055";"CUENTAS POR GRUPO DE BALANCE";"CU_PER_GB";"2V10010020";"600"
"2V1001002060";"DUPLICAR PLAN CONTABLE";"DUPCUENT";"2V10010020";"700"
"2V1001002085";"UNIDADES ALMACÉN POR CUENTA";"CONCECAN";"2V10010020";"800"
"2V1001002090";"CATÁLOGOS POR ORGANISMOS";"";"2V10010020";"900"
"2V100100209010";"CATÁLOGOS";"OT_CATAL";"2V1001002090";"100"
"2V100100209015";"CATÁLOGOS POR G.B.";"OT_CATALGB";"2V1001002090";"200"
"2V100100209020";"CUENTAS DEL CATÁLOGO";"OT_CTASINT";"2V1001002090";"300"
"2V100100209025";"EQUIVALENCIAS CUENTAS CATÁLOGO";"OT_EQUICTAS";"2V1001002090";"400"
"2V1001002095";"LIMITES IMPORTE CONC. POR CTA";"LIMIT_IMP_CONC_CTAS";"2V10010020";"1000"
"2V1001002100";"CUENTAS PERM. PARA VARIABLESGB";"CTA_VAR_PERM";"2V10010020";"900"
"2V10010030";"CENTROS DE COSTE...";"";"2V10010";"400"
"2V1001003010";"TIPOS REPARTO";"CENCOSTE";"2V10010030";"100"
"2V1001003015";"SEG. DEL CENTRO DE COSTE";"A_MSEGCC";"2V10010030";"200"
"2V1001003020";"SEGMENTOS";"A_MSEGME";"2V10010030";"300"
"2V1001003025";"SEGMENTOS PERMITIDOS";"A_MSEGPO";"2V10010030";"400"
"2V1001003030";"FORMULAS REPARTO";"FORMULAS";"2V10010030";"500"
"2V1001003035";"SEGMENTOS POR USUARIO";"SEGCCUSU";"2V10010030";"600"
"2V1001003040";"SEGMENTOS DE GESTIÓN";"F_MANSEG";"2V10010030";"700"
"2V1001003045";"SEGMENTOS POR C. CONTABLE";"SEGCCONT";"2V10010030";"800"
"2V1001003048";"EQUIVALENCIAS SEGMENTOS";"EQUIVSEG";"2V10010030";"820"
"2V1001003060";"______ REPARTO DE COSTES _____";"NULO";"2V10010030";"900"
"2V100100306010";"SEGMENTOS AUXILIARES";"MT_SEG_AUX";"2V10010030";"925"
"2V100100306020";"SEGMENTOS AUXILIARES FIJOS";"MT_SEG_AUXF";"2V10010030";"950"
"2V100100306030";"SEGMENTOS AUXILIARES DINÁMICOS";"MT_SEG_AUXD";"2V10010030";"975"
"2V100100306040";"MANTENIMIENTO FÓRMULAS AUTOMA.";"CALC_REP";"2V10010030";"980"
"2V1001003065";"CRITERIOS DE REPARTO";"CRIT_REP";"2V10010030";"1000"
"2V1001003067";"MODIFICACIÓN DE COSTES";"MODCOSTE";"2V10010030";"1050"
"2V1001003068";"TRASPASO SALDOS CENTROS COSTE";"TRASALCC";"2V10010030";"1075"
"2V1001003070";"FÓRMULAS DINÁMICAS";"REPARTODIN";"2V10010030";"1100"
"2V1001003075";"ASIGNAR CRITERIOS DE REPARTO";"ASGCRREP";"2V10010030";"1200"
"2V1001003080";"RELACIONES ENTRE SEGMENTOS";"A_MSEGPER";"2V10010030";"1300"
"2V1001003090";"SEGMENTOS PERMITIDOS POR PERFI";"SEGPERPERF";"2V10010030";"1400"
"2V10010035";"CLIENTES";"";"2V10010";"500"
"2V1001003510";"CLIENTES";"CLIENTES";"2V10010035";"5"
"2V1001003512";"AUXILIARES DE CLIENTES";"";"2V10010035";"200"
"2V100100351201";"AGENDA DE CLIENTES";"AGENCLIE";"2V1001003512";"100"
"2V100100351210";"BLOQUEO DE CLIENTES";"BLOQCLIE";"2V1001003512";"200"
"2V100100351215";"PARÁMETROS CLIENTES X C.CONT.";"CLIPARCCONT";"2V1001003512";"300"
"2V100100351220";"CLIENTES Y C.N.A.E.";"CLIECNAE";"2V1001003512";"400"
"2V100100351225";"IMPUESTOS DE CLIENTES";"IMPCLIE";"2V1001003512";"500"
"2V100100351230";"AGENTES DE CLIENTES";"AGENTCLI";"2V1001003512";"600"
"2V100100351235";"DOMICILIOS PAGO CLIENTES";"DOMPCLIE";"2V1001003512";"700"
"2V100100351240";"CLAVES ESTADÍSTICAS CLIENTES";"CLA_EST";"2V1001003512";"800"
"2V100100351245";"CLIENTES-PROVEEDORES";"CLIEPROV";"2V1001003512";"900"
"2V100100351250";"DOMICILIOS ENVÍO CLIENTES";"DOMENVIO";"2V1001003512";"1000"
"2V100100351255";"RUTAS DOMICILIOS DE ENVÍO";"RUTADOME";"2V1001003512";"1100"
"2V100100351260";"INCIDENCIAS DE CLIENTES";"INCCLIE";"2V1001003512";"1200"
"2V1001003515";"CLIENTES PERMITIDOS";"CLI_PERM";"2V10010035";"300"
"2V1001003520";"ALARMAS CLIENTES";"ALAR_CLI";"2V10010035";"400"
"2V1001003525";"ALARMAS VENTAS";"ALAR_VTA";"2V10010035";"500"
"2V1001003535";"CLIENTES RIESGO X C.CONT";"CLI_RIESGOS";"2V10010035";"600"
"2V1001003540";"IMPRESIÓN DE ETIQUETAS";"F_METCLI";"2V10010035";"700"
"2V10010040";"PROVEEDORES";"";"2V10010";"600"
"2V1001004010";"PROVEEDORES";"PROVEED";"2V10010040";"100"
"2V1001004012";"AUXILIARES DE PROVEEDORES";"";"2V10010040";"200"
"2V100100401201";"PARÁMETROS PROV. X C. CONT.";"PROPARCCONT";"2V1001004012";"100"
"2V100100401210";"AGENDA DE PROVEEDORES";"AGENPROV";"2V1001004012";"200"
"2V100100401215";"BLOQUEO DE PROVEEDORES";"BLOQPROV";"2V1001004012";"300"
"2V100100401220";"PROVEEDORES Y C.N.A.E.";"PROVCNAE";"2V1001004012";"400"
"2V100100401225";"IMPUESTOS PROVEEDORES";"IMPPROV";"2V1001004012";"500"
"2V100100401227";"AGENTES DE PROVEEDORES";"AGENTPRO";"2V1001004012";"550"
"2V100100401228";"PROVEEDORES Y G.DE BALANCE";"PROVGB";"2V1001004012";"575"
"2V100100401230";"DOMICILIOS PAGO PROVEEDORES";"DOMPPRO";"2V1001004012";"600"
"2V100100401235";"CLAVES ESTADÍSTICAS PROVEEDORE";"CLAV_PRO";"2V1001004012";"700"
"2V100100401240";"PROVEEDORES-CLIENTES";"PROVCLIE";"2V1001004012";"800"
"2V100100401245";"INCIDENCIAS DE PROVEEDORES";"PROVINCI";"2V1001004012";"900"
"2V100100401250";"ARTÍCULOS POR PROV. Y AGENTE";"AG_ART_PROV";"2V1001004012";"555"
"2V100100401251";"FAMILIAS POR PROV. Y AGENTE";"AG_FAM_PROV";"2V1001004012";"556"
"2V100100401280";"PROVEEDORES CONFIRMING";"PRCONFG";"2V1001004012";"1000"
"2V100100401285";"LIMITE DE CRÉDITO CONFIRMING";"PRCONFGLC";"2V1001004012";"1100"
"2V1001004015";"PROVEEDORES PERMITIDOS";"PROV_PERM";"2V10010040";"300"
"2V1001004020";"REPROWEB";"AFIP_REPROWEB";"2V10010040";"400"
"2V1001004021";"PROVEED.INSCRIP.REG.ESPECIALES";"AFIP_PROVREG";"2V10010040";"401"
"2V10010045";"AGENTES";"";"2V10010";"700"
"2V1001004510";"TIPOS DE AGENTE";"F_MTIPAG";"2V10010045";"100"
"2V1001004520";"AGENTES";"AGENTES";"2V10010045";"200"
"2V1001004530";"CAMBIO MASIVO DE AGENTES";"MODIAGEN";"2V10010045";"300"
"2V10010050";"BANCOS";"";"2V10010";"800"
"2V1001005010";"BANCOS";"BANCOS";"2V10010050";"100"
"2V1001005012";"DIAS NO HÁBILES DE BANCOS";"DIAS_NH";"2V10010050";"200"
"2V1001005015";"SUFIJOS POR TIPO DE REMESA";"SUFITR";"2V10010050";"300"
"2V1001005020";"GRUPOS DE REMESAS";"MTO_GRUREM";"2V10010050";"400"
"2V1001005025";"BANCOS-PRODUCTOS";"BANCOSP";"2V10010050";"500"
"2V1001005030";"TRANSACCIONES X PRODUCTOS";"PRO_TRAN";"2V10010050";"600"
"2V1001005035";"GASTOS ESCALABLES";"GASTOS";"2V10010050";"700"
"2V1001005040";"PARÁMETROS TRANSACCIONES";"PARATRAN";"2V10010050";"800"
"2V1001005045";"PARÁMETROS POR NORMA Y T.TRANS";"PNORTRAS";"2V10010050";"900"
"2V1001005090";"INTEGRACIÓN BANCARIA";"";"2V10010050";"9000"
"2V100100509010";"CONTRATOS DE BANCA ELECTRÓNICA";"CONBANE";"2V1001005090";"100"
"2V100100509020";"COMUNICACIONES BANCARIAS";"COMUNI_SM";"2V1001005090";"200"
"2V100100509030";"CONCILIACIÓN DE COMUNICACIONES";"COMUNI_SM_CON";"2V1001005090";"300"
"2V100100509040";"CONEXIONES FTP";"GAL_FTP";"2V1001005090";"400"
"2V100100509050";"CUENTAS A EXCLUIR";"EXCUEN43";"2V1001005090";"500"
"2V1001005100";"PARAM. OPERACIONES BANCARIAS";"PARAM_OPER";"2V10010050";"1200"
"2V1001005110";"PARÁMETROS AUTOREMESAS";"PARAM_AUTREM_CH";"2V10010050";"1300"
"2V10020";"PLANTILLAS";"";"2V10";"300"
"2V10020010";"ASIENTOS PREDEFINIDOS";"ASIENPRE";"2V10020";"100"
"2V10020012";"ASIENTOS PREDEFINIDOS - PL/SQL";"ASIENPRE_PLSQL";"2V10020";"200"
"2V10020015";"PREDEFINIDOS POR PERFIL";"PREDPERF";"2V10020";"300"
"2V10020020";"PREDEFINIDOS POR USUARIO";"PREDUSUA";"2V10020";"400"
"2V10020025";"DUPLICAR PREDEFINIDOS";"DUPASIEN";"2V10020";"500"
"2V10020035";"PREDEFINIDOS POR MOV. Y TRANS.";"PREDCART";"2V10020";"600"
"2V10020040";"PREDEFINIDOS POR MOVIMIENTOS";"PREDMOVI";"2V10020";"700"
"2V10020045";"DIARIO X PROCESO(TT/ROL/USU.)";"DIAPROCART";"2V10020";"800"
"2V10020050";"PLANTILLAS EXCEL COBROS";"FI_PLACOB";"2V10020";"900"
"2V10030";"CONTABILIZACIÓN";"";"2V10";"400"
"2V10030005";"________ (MANUALES) __________";"NULO";"2V10030";"100"
"2V10030010";"ENTRADA ASIENTOS";"EN_APUNM";"2V10030";"200"
"2V10030013";"VALIDAR/INVALIDAR APUNTES";"BORRDEF";"2V10030";"300"
"2V10030019";"MODIFICACIÓN DE ASIENTOS";"MODASIEN";"2V10030";"400"
"2V10030020";"DUPLICADO DE ASIENTOS";"DUP_ASIENTOS";"2V10030";"450"
"2V10030022";"CONTABILIZACIÓN AUTOMÁTICA";"CONTAUTO";"2V10030";"500"
"2V10030023";"REAPERTURAR EJERCICIOS";"REAPEJER";"2V10030";"550"
"2V10030024";"OPERACIONES INTERBANCARIAS";"EMIOPER";"2V10030";"560"
"2V10030025";"_________ (COBROS)____________";"NULO";"2V10030";"600"
"2V10030028";"RECEPCIÓN DE DOCUMENTOS";"ACEP_LET";"2V10030";"700"
"2V10030031";"AGRUPAR / DESGLOSAR ";"";"2V10030";"800"
"2V1003003110";"AGRUPAR/DESGLOSAR EFECTOS";"AGRUPDOC";"2V10030031";"100"
"2V1003003115";"AGRUPACIÓN COMPENSACIÓN COBROS";"AGRUPCOBROS";"2V10030031";"200"
"2V1003003120";"AGRUPACIONES AUTOMÁTICAS";"AGRCAUTO";"2V10030031";"300"
"2V1003003130";"ANULAR AGRUPACIONES";"REVAGRUPDOC";"2V10030031";"400"
"2V10030033";"REMESA DE FINANCIACIÓN";"";"2V10030";"850"
"2V1003003310";"REMESAS DE FINANCIACIÓN";"REM_FINEXP";"2V10030033";"100"
"2V1003003320";"CONTABILIZAR REMESA FINANCIAC.";"CONTREME_FINEXP";"2V10030033";"200"
"2V1003003325";"CONFIRMACION REMESA FINANCIAC.";"CONFREME_FINEXP";"2V10030033";"200"
"2V1003003330";"REVISION REMESAS DE FINANCIAC.";"REV_FINEXP";"2V10030033";"300"
"2V10030034";"REMESAR";"";"2V10030";"900"
"2V1003003410";"REMESAR";"REME_MAN";"2V10030034";"100"
"2V1003003415";"IMPRESIÓN / GENERACIÓN REMESAS";"IMPREM";"2V10030034";"200"
"2V1003003420";"RECLAMACIÓN DE EFECTOS";"RECLAMA";"2V10030034";"300"
"2V1003003430";"CONTABILIZAR REMESAS";"CONTREME";"2V10030034";"400"
"2V1003003435";"CONTROL DE VENCIMIENTOS";"CON_VCTO";"2V10030034";"500"
"2V1003003480";"VENCIMIENTOS REMESAS COMPENSAR";"COVCTCOM";"2V10030034";"800"
"2V1003003490";"CONTABILIZAR REM. CONFIRMADAS";"CONREMBA";"2V10030034";"900"
"2V10030038";"COBROS DIRECTOS";"COBROSIN";"2V10030";"1000"
"2V10030042";"ENTRADA IMPAGADOS/RECLAMACIÓN";"IMPAGADO";"2V10030";"1100"
"2V10030047";"PASO A PREJUD./ABOGADO/FALLIDO";"PASOIMPA";"2V10030";"1200"
"2V10030050";"UTILIDADES DE COBROS";"";"2V10030";"1300"
"2V1003005010";"CREACIÓN /MODIFICACIÓN EFECTOS";"MODEFECT";"2V10030050";"100"
"2V1003005015";"EMISIÓN DE LETRAS";"IMPLETRR";"2V10030050";"200"
"2V1003005020";"CONTROL DE RETRASOS";"CTRLRET";"2V10030050";"300"
"2V1003005025";"IMPRESIÓN DE RECIBOS";"IMPGIROS";"2V10030050";"400"
"2V1003005027";"RECIBOS IVA CAJA (PORTUGAL)";"EMIREC";"2V10030050";"450"
"2V1003005030";"ASEGURACIÓN DEL CAMBIO";"M_ASEGCA";"2V10030050";"500"
"2V1003005035";"RETENCIÓN DE EFECTOS";"RETEFECT";"2V10030050";"600"
"2V1003005040";"CAMBIO CENTRO CONTABLE";"CAMB_CC";"2V10030050";"700"
"2V1003005045";"CAMB.DOMICIL. X CLIENT Y T.T.";"CAMDOM";"2V10030050";"800"
"2V1003005050";"TRASPASO CARTERA AGENTES";"TRASPAG";"2V10030050";"900"
"2V1003005055";"CAMBIO DE VENCIMIENTO";"CAMBVCTO";"2V10030050";"1000"
"2V1003005057";"DESHACER CAMBIO DE VCTO Y T.T.";"DESCVTOC";"2V10030050";"1050"
"2V1003005060";"DESGLOSE DE COBROS";"DESGLO_COB";"2V10030050";"1100"
"2V1003005065";"TRASPASOS DE COBROS A PAGOS";"AGRCTAL";"2V10030050";"1200"
"2V10030058";"_________ (PAGOS) ____________";"NULO";"2V10030";"1400"
"2V10030061";"AGRUPAR / DESGLOSAR ";"";"2V10030";"1500"
"2V1003006110";"AGRUPAR / DESGLOSAR EFECTOS";"AGRDOCP";"2V10030061";"101420"
"2V1003006120";"AGRUPACIÓN COMPENSACIÓN PAGOS";"AGRUPAGOS";"2V10030061";"101430"
"2V10030064";"PROPUESTAS";"";"2V10030";"1600"
"2V1003006410";"PROPUESTAS";"PROPUEST";"2V10030064";"100"
"2V1003006415";"CONFIRMACIÓN PROPUESTAS";"CONFPROP";"2V10030064";"200"
"2V1003006420";"EMISIÓN ORDENES PAGO";"ORDEPAGO";"2V10030064";"300"
"2V1003006423";"REEMISIÓN DE EFECTO DE PAGO";"REMIPROP";"2V10030064";"400"
"2V1003006425";"CONFIRMACIÓN ÓRDENES DE PAGO";"CONFORDE";"2V10030064";"500"
"2V1003006427";"CONTABILIZACIÓN FINANCIACIÓN";"CONTFINAN";"2V10030064";"550"
"2V1003006430";"CONTABILIZACIÓN DEL PAGO";"CONTAPAG";"2V10030064";"600"
"2V10030070";"PAGOS DIRECTOS";"CONTASIN";"2V10030";"1700"
"2V10030075";"UTILIDADES DE PAGOS";"";"2V10030";"1800"
"2V1003007510";"CREACIÓN/MODIFICACIÓN EFECTOS";"MODPAGOS";"2V10030075";"100"
"2V1003007513";"EMISIÓN MANUAL DE PAGARÉS";"EMIPAGOS";"2V10030075";"150"
"2V1003007515";"BLOQUEO DE PAGOS";"BLOQPAGO";"2V10030075";"200"
